"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"5989","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/201271","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2149734"
"5990","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/204269","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2372267"
"5991","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/204269","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2149734"
"5992","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/204268","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2372267"
"5993","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/204268","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2149734"
"5994","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/201272","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2372267"
"5995","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18364/2025-2026/201272","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","Shri Narayanasa K. Bhandage (2024-30) (2024-2030)","Elected MP","11-Sep-2025","RAJASHEKAR PATIL","Payment Success","2149734"
"5996","Punjab","Construction of community centers and community halls","WS/MP141/2023-2024/77739","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2025","SATNAM SINGH","Payment Success","94760"
"5997","Punjab","Construction of community centers and community halls","WS/MP141/2023-2024/77739","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","09-Sep-2025","SATNAM SINGH","Payment Success","50000"
"5998","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2025-2026/230923","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","26-Sep-2025","LITMUS MARINE INNOVATION","Payment Success","550000"
"5999","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2025-2026/230924","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","03-Sep-2025","LITMUS MARINE INNOVATION","Payment Success","600000"
"6000","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2025-2026/230390","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","03-Sep-2025","LITMUS MARINE INNOVATION","Payment Success","449000"
"6001","Punjab","Purchase of motor boats for flood and cyclone prone areas","WS/MP140/2025-2026/231943","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","24-Nov-2025","LITMUS MARINE INNOVATION","Payment Success","550000"
"6002","Jammu And Kashmir","Construction of community centers and community halls","WS/MP839/2024-2025/158703","JAMMU(DEPUTY COMMISSIONER JAMMU_IDA)","Shri Gulam Ali (2022-28) (2022-2028)","Nominated MP","24-Nov-2025","Sourabh Singh Chib","Payment Success","389394"
"6003","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/152228","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","08-Sep-2025","S R CONSTRUCTIONS","Payment Success","488719"
"6004","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18334/2025-2026/152230","Y.S.R. Kadapa(DISTRICT COLLECTOR CUDDAPAH_IDA)","Shri Meda Raghunadha Reddy (2024-30) (2024-2030)","Elected MP","08-Sep-2025","S R CONSTRUCTIONS","Payment Success","488623"
"6005","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18316/2025-2026/162508","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","Smt. Maya Naroliya (2024-30) (2024-2030)","Elected MP","02-Sep-2025","NAVEEN CHOUHAN","Payment Success","140000"
"6006","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18403/2025-2026/226462","MAHESANA(DISTRICT COLLECTOR MAHESANA_IDA)","Shri Mayankkumar Nayak (2024-30) (2024-2030)","Elected MP","21-Aug-2026","kalari gram panchayat","Payment Success","500000"
"6007","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP891/2025-2026/139713","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","16-Sep-2025","BHIMGUDA GRAM PANCHAYAT","Payment Success","500000"
"6008","Gujarat","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP891/2025-2026/210216","MORBI(District collector Morbi_IDA)","Shri Kesridevsinh Jhala (2023-29) (2023-2029)","Elected MP","30-Oct-2025","BHIMGUDA GRAM PANCHAYAT","Payment Success","500000"
"6009","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/221019","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Oct-2025","Samau Mota Vas Grampanchayat","Payment Success","500000"
"6010","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP889/2025-2026/221021","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Oct-2025","Samau Mota Vas Grampanchayat","Payment Success","500000"
"6011","Gujarat","Construction of footpaths and pedestrian ways","WS/MP889/2025-2026/221102","BANAS KANTHA(DISTRICT COLLECTOR BANAS KANTHA_IDA)","Shri Babubhai Jesangbhai Desai (2023-29) (2023-2029)","Elected MP","06-Oct-2025","Bhadramali Gram Panchayat","Payment Success","500000"
"6012","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP100/2025-2026/158075","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri Jose K. Mani (2024-30) (2024-2030)","Elected MP","05-Feb-2026","V ANILKUMAR","Payment Success","407926"
"6013","Kerala","Construction of culverts and bridges","WS/MP095/2024-2025/133319","THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA)","Shri A. A. Rahim (2022-28) (2022-2028)","Elected MP","01-Jan-2026","V ANILKUMAR","Payment Success","541867"
"6014","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18296/2025-2026/226487","KALABURAGI(DEPUTY COMMISSIONER GULBARGA_IDA)","Dr. Syed Naseer Hussain (2024-30) (2024-2030)","Elected MP","09-Apr-2026","SHARANABASAVA CIVIL","Payment Success","6075000"
"6015","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160135","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6016","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160134","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6017","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160140","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6018","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160138","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6019","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160130","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6020","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160136","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6021","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160137","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6022","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160131","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6023","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160139","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","18-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6024","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160133","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","16-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6025","Tamil Nadu","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP165/2025-2026/160132","SIVAGANGA(DISTRICT COLLECTOR SIVAGANGA_IDA)","Shri P. Chidambaram (2022-28) (2022-2028)","Elected MP","16-Sep-2025","AMSARAJ MOTORS PRIVATE LIMITED","Payment Success","101800"
"6026","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/225208","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Sep-2025","H L Tongwang","Payment Success","6000000"
"6027","Nagaland","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP233/2025-2026/225208","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","01-Nov-2025","H L Tongwang","Payment Success","4000000"
"6028","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18294/2025-2026/182595","BHANDARA(DISTRICT COLLECTOR BHANDARA_IDA)","Shri Praful Patel (2024-30) (2024-2030)","Elected MP","26-Sep-2025","GRAM PANCHAYAT TAIBUJ","Payment Success","498104"
"6029","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18297/2025-2026/263019","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Balyogi Umeshnath (2024-30) (2024-2030)","Elected MP","02-Apr-2026","Gp Zhirniya","Payment Success","600000"
"6030","Odisha","Construction of public libraries and reading rooms","WS/MP138/2025-2026/143888","JAGATSINGHAPUR(DISTRICT COLLECTOR JAGATSINGHPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","06-Dec-2025","PRASANJIT PATTNAIK","Payment Success","622527"
"6031","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP138/2025-2026/207285","MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","12-Sep-2025","Aparajita Mallick","Payment Success","200000"
"6032","Rajasthan","Lighting of public spaces","WS/MP147/2025-2026/174701","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","07-Sep-2025","SARPANCH GRAM PANCHAYAT BHUNDANA","Payment Success","500000"
"6033","Rajasthan","Lighting of public spaces","WS/MP147/2025-2026/174702","Jodhpur Gramin(DISTRICT COLLECTOR JODHPUR RURAL_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","07-Sep-2025","SARPANCH GRAM PANCHAYAT BHUNDANA","Payment Success","500000"
"6034","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP102/2025-2026/170141","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Smt. Jebi Mather Hisham (2022-28) (2022-2028)","Elected MP","04-Feb-2026","BIJU E P","Payment Success","1172324"
"6035","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/220271","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","28-Jan-2026","SURENDRA SINGH","Payment Success","27750"
"6036","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/220271","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","28-Jan-2026","MAMTA KANWAR","Payment Success","10545"
"6037","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/220271","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","28-Jan-2026","ADITYA SINGH","Payment Success","10545"
"6038","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP148/2025-2026/220271","Gangapurcity(DISTRICT COLLECTOR Gangapur City_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","28-Jan-2026","SANDEEM","Payment Success","29250"
"6039","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18332/2025-2026/200068","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","Dr. Dharmshila Gupta (2024-30) (2024-2030)","Elected MP","10-Sep-2025","PRIYAM PRITY","Payment Success","1494822"
"6040","Sikkim","Construction of boundary walls of existing public and community buildings","WS/MP18282/2025-2026/225043","Soreng(DISTRICT COLLECTOR SORENG_IDA)","Shri Dorjee Tshering Lepcha (2024-30) (2024-2030)","Elected MP","26-Sep-2025","Tshering Tamang","Payment Success","997692"
"6041","Punjab","Setting up public non-conventional energy plants","WS/MP844/2024-2025/136730","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","08-Sep-2025","SUGS LLOYD LIMITED","Payment Success","2068289"
"6042","Punjab","Setting up public non-conventional energy plants","WS/MP844/2024-2025/136730","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","24-Jun-2026","SUGS LLOYD LIMITED","Payment Success","219915"
"6043","Tamil Nadu","Lighting of public spaces","WS/MP166/2025-2026/188748","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri K.R.N. Rajeshkumar (2022-28) (2022-2028)","Elected MP","09-Sep-2025","SCHNELL ENERGY EQUIPMENTS PVT LTD","Payment Success","9362503"
"6044","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/155280","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","31-Jul-2026","SUNDARESH","Payment Success","2343"
"6045","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP086/2025-2026/155279","BENGALURU RURAL(DEPUTY COMMISSIONER BANGALORE RURAL SBM URBAN)","Shri G.C. Chandrashekhar (2024-30) (2024-2030)","Elected MP","31-Jul-2026","SUNDARESH","Payment Success","2496"
"6046","Nagaland","Installing tube-wells and borewells","WS/MP233/2025-2026/225203","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","10-Sep-2025","Pangom Konyak","Payment Success","1200000"
"6047","Nagaland","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP233/2026-2027/297499","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","26-Jul-2026","Pangom Konyak","Payment Success","9500000"
"6048","Nagaland","Installing tube-wells and borewells","WS/MP233/2025-2026/225203","MON(Deputy Commissioner Mon_IDA)","Smt. S. Phangnon Konyak (2022-28) (2022-2028)","Elected MP","02-Mar-2026","Pangom Konyak","Payment Success","800000"
"6049","Uttar Pradesh","Construction of rooms and halls in school and colleges","WS/MP187/2024-2025/140196","AZAMGARH(DISTRICT MAGISTRATE AZAMGARH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","24-Apr-2026","PRABHUNATH SINGH KRISHNA U M V ADNAINIJOR GODIYANA AZAMGARH","Payment Success","377434"
