"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"825","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201650","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"826","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201654","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","MUNIAN VENKATESAN","Payment Success","235000"
"827","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201645","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"828","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201643","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"829","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201637","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"830","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201636","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"831","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201635","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"832","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201632","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"833","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201631","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"834","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP18178/2025-2026/201633","KALLAKURICHI(District Collector Kallakurichi_IDA)","MALAIYARASAN D","KALLAKURICHI","12-Jun-2025","VEENUS ENTERPRISES","Payment Success","235000"
"835","Tamil Nadu","Purchase of hospital equipment","WS/MP758/2025-2026/201233","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","12-Mar-2026","Lotus Medical  Systems","Payment Success","1097500"
"836","Tamil Nadu","Purchase of hospital equipment","WS/MP758/2025-2026/201234","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","12-Mar-2026","Lotus Medical  Systems","Payment Success","133500"
"837","Tamil Nadu","Purchase of hospital equipment","WS/MP758/2025-2026/149078","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","12-Mar-2026","Lotus Medical  Systems","Payment Success","137500"
"838","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/202565","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","03-Feb-2026","G Durairaj","Payment Success","50000"
"839","Tamil Nadu","Purchase of books and periodicals for libraries/digitization of library books","WS/MP743/2025-2026/202563","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","03-Feb-2026","G Durairaj","Payment Success","50000"
"840","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP017/2026-2027/188575","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","25-Jun-2026","PURUSHOTHAMAN M","Payment Success","1799989"
"841","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP017/2026-2027/234415","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","24-Jun-2026","D BASKARAN","Payment Success","658619"
"842","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP017/2025-2026/160030","Ranipet(District Collector, Ranipet_2)","S. Jagathrakshakan","ARAKKONAM","01-Sep-2025","MURUGAN P","Payment Success","1749689"
"843","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2025-2026/213210","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","06-Nov-2025","THANUSH RAM CONSTRUCTION","Payment Success","700000"
"844","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2024-2025/147416","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","11-Jun-2025","THANUSH RAM CONSTRUCTION","Payment Success","1305000"
"845","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/147415","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","11-Jun-2025","THANUSH RAM CONSTRUCTION","Payment Success","1136000"
"846","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2025-2026/213213","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","08-Oct-2025","THANUSH RAM CONSTRUCTION","Payment Success","572000"
"847","Tamil Nadu","Providing drains and gutters for public drainage","WS/MP18394/2025-2026/213211","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Oct-2025","THANUSH RAM CONSTRUCTION","Payment Success","600000"
"848","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151357","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","11-Jun-2025","Hindusthan Power Technology","Payment Success","349929"
"849","Tamil Nadu","Installing tube-wells and borewells","WS/MP18394/2025-2026/196280","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","07-Jul-2025","E P SIVAKUMAR","Payment Success","459750"
"850","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254723","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"851","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254720","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"852","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254718","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"853","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254724","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"854","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254722","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"855","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254726","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","379967"
"856","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/259863","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-Apr-2026","Hindusthan Power Technology","Payment Success","199951"
"857","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/245654","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","18-Feb-2026","Hindusthan Power Technology","Payment Success","449960"
"858","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/245656","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jan-2026","Hindusthan Power Technology","Payment Success","149978"
"859","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/245655","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jan-2026","Hindusthan Power Technology","Payment Success","149978"
"860","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/245657","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jan-2026","Hindusthan Power Technology","Payment Success","149978"
"861","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/196283","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","03-Feb-2026","Hindusthan Power Technology","Payment Success","449960"
"862","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/147466","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","19-Nov-2025","SRS CO","Payment Success","960819"
"863","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254729","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379962"
"864","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254734","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379962"
"865","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254751","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379926"
"866","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254732","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379892"
"867","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254733","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379962"
"868","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254727","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379962"
"869","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2024-2025/185249","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","21-Jul-2025","KS AND CO Constructions","Payment Success","435997"
"870","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/147460","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","08-Oct-2025","GOKULASELVAN M","Payment Success","1150000"
"871","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/196282","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","24-Sep-2025","Hindusthan Power Technology","Payment Success","349929"
"872","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151345","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","20-Mar-2025","Hindusthan Power Technology","Payment Success","349929"
"873","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254730","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379933"
"874","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/254738","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","22-Jun-2026","Hindusthan Power Technology","Payment Success","379962"
"875","Tamil Nadu","Construction of bus-sheds or bus-stops","WS/MP18394/2025-2026/259832","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","18-Aug-2026","P Prakash","Payment Success","649675"
"876","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/148081","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","18-Jun-2026","SHRI MURUGA AGENCY","Payment Success","1085000"
"877","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/148082","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-May-2025","K PULLIAPPAN AND CO","Payment Success","1085000"
"878","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/147417","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","19-Jun-2026","M THANGAVEL","Payment Success","1532566"
"879","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/147418","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","19-Jun-2026","M THANGAVEL","Payment Success","1072069"
"880","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151348","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","13-Oct-2025","Hindusthan Power Technology","Payment Success","349965"
"881","Tamil Nadu","Providing drains and gutters for public drainage","WS/MP18394/2025-2026/209302","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","27-Jan-2026","D Sakthivel","Payment Success","894105"
"882","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2025-2026/209304","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","09-Dec-2025","D Sakthivel","Payment Success","309584"
"883","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2024-2025/155967","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","15-May-2025","R Senthilkumar","Payment Success","349374"
"884","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2024-2025/155968","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","12-Feb-2025","Yuvaraj A","Payment Success","249744"
"885","Tamil Nadu","Construction of water tanks","WS/MP18394/2025-2026/212735","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","27-Mar-2026","RAJAVEL","Payment Success","1850000"
"886","Tamil Nadu","Street lights","WS/MP18177/2024-2025/149274","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","K E PRAKASH","ERODE","18-Feb-2026","SUCCESS ASSOCIATES","Payment Success","965985"
"887","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151363","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","16-May-2025","Hindusthan Power Technology","Payment Success","349929"
"888","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18186/2026-2027/222947","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","27-May-2026","JAYA S","Payment Success","1796492"
"889","Tamil Nadu","Setting up of community effluent treatment plants","WS/MP18186/2026-2027/299514","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","12-Aug-2026","NANDAKUMAR V","Payment Success","498401"
"890","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18186/2026-2027/212286","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","24-Jul-2026","SRI LAKSHMI ELECTRICAL SERVICE","Payment Success","217548"
"891","Tamil Nadu","Construction of rooms and halls in school and colleges","WS/MP18186/2026-2027/212286","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","22-Jul-2026","JAYA S","Payment Success","3735499"
"892","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18186/2025-2026/170898","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","22-Oct-2025","Duraivel VS","Payment Success","1652604"
"893","Tamil Nadu","Setting up of kitchen and pantries","WS/MP755/2025-2026/152825","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","17-Nov-2025","A S SANKARAN","Payment Success","1014756"
"894","Tamil Nadu","Installing tube-wells and borewells","WS/MP18186/2025-2026/212299","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","18-Nov-2025","SRI RAJALAKSHMI ENTERPRISES","Payment Success","299183"
"895","Tamil Nadu","Setting up of kitchen and pantries","WS/MP755/2025-2026/152825","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","22-Sep-2025","A S SANKARAN","Payment Success","1476908"
"896","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2025-2026/197020","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","22-Sep-2025","S UDHAYAKUMAR","Payment Success","1594278"
"897","Tamil Nadu","Construction of veterinary hospitals and dispensaries","WS/MP017/2024-2025/143499","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","S. Jagathrakshakan","ARAKKONAM","15-Oct-2024","S SIVAKUMAR","Payment Success","996610"
"898","Tamil Nadu","Lighting of public spaces","WS/MP18186/2024-2025/149098","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","12-Feb-2025","BALACHANDAR","Payment Success","444905"
"899","Tamil Nadu","Lighting of public spaces","WS/MP18186/2024-2025/149097","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","12-Feb-2025","BALACHANDAR","Payment Success","444905"
"900","Tamil Nadu","Construction of buildings for multi-gym","WS/MP18186/2026-2027/212317","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","07-Aug-2026","RLatha","Payment Success","1999836"
"901","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18186/2026-2027/253587","THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA)","Sasikanth Senthil","TIRUVALLUR(SC)","18-Jun-2026","MURUGAN ENTERPRISES","Payment Success","1500000"
"902","Tamil Nadu","Construction of water tanks","WS/MP18394/2024-2025/141916","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","08-Oct-2025","SK CONSTRUCTIONS","Payment Success","1140000"
"903","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/212732","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-Feb-2026","Hindusthan Power Technology","Payment Success","380000"
"904","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18394/2024-2025/143010","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","01-Aug-2025","Balaji Constructions","Payment Success","1850000"
"905","Tamil Nadu","Construction of public irrigation facilities","WS/MP18394/2025-2026/212731","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","27-Nov-2025","R RAJENDRAN","Payment Success","2000000"
"906","Tamil Nadu","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18394/2025-2026/201081","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","23-Dec-2025","SK CONSTRUCTIONS","Payment Success","581334"
"907","Tamil Nadu","Lighting of public spaces","WS/MP18394/2025-2026/190682","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","08-Oct-2025","Hindusthan Power Technology","Payment Success","310000"
"908","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151365","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","15-Jul-2025","Hindusthan Power Technology","Payment Success","350000"
"909","Tamil Nadu","Lighting of public spaces","WS/MP18394/2024-2025/151364","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","15-Jul-2025","Hindusthan Power Technology","Payment Success","350000"
"910","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18394/2024-2025/148069","NAMAKKAL(DISTRICT COLLECTOR NAMAKKAL_IDA)","V S Matheswaran","NAMAKKAL","11-Dec-2025","SKM INFRASTRUCTURES","Payment Success","1800000"
