"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"844","Normal/Others","WS/MP743/2024-2025/143073-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Salavakkam Govt.Hr.sec. School in Uthiramerur Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"845","Normal/Others","WS/MP743/2024-2025/143074-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Kaliyampoondi Govt.Girls.Hr.sec. School in Uthiramerur Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"846","Normal/Others","WS/MP743/2024-2025/143097-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Thirumukkudal Govt.Hr.sec. School in Uthiramerur Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"847","Normal/Others","WS/MP743/2024-2025/143106-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for BMS Govt.Girls Hr.sec. School in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"848","Normal/Others","WS/MP743/2024-2025/143108-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Rani Annadurai Govt.Hr.sec. School in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"849","Normal/Others","WS/MP743/2024-2025/143109-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Dr.PSS Mpl.Hr.sec. School in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"850","Normal/Others","WS/MP743/2024-2025/143110-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for AKT Mpl.High School in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"851","Normal/Others","WS/MP743/2024-2025/143111-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Govt.High School, Collectorate Colony in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"852","Normal/Others","WS/MP743/2024-2025/143112-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Govt.High School, Sevilimedu in Kanchipuram Corporation. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"853","Normal/Others","WS/MP743/2024-2025/143117-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Ganesan Selvam","KANCHEEPURAM(SC)","Purchasing of smart class room equipment for Musaravakkam Govt.Hr.sec.School in Kanchipuram Panchayat Union. (Supply of smart class equipment 2 set)","24-Sep-2024","20-Oct-2024","400000","Physical Inspection"
"854","Normal/Others","WS/MP758/2025-2026/149068-Purchase of smart boards, visual display units and projectors","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","Setting up of Smart class in Government High School,Lakkinampatti,Kundrandar Koyil,Kulathur Tk","22-Oct-2024","18-Jun-2025","200000","Physical Inspection"
"855","Normal/Others","WS/MP758/2025-2026/149070-Purchase of smart boards, visual display units and projectors","Tamil Nadu","PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA)","Smt S Jothimani","KARUR","setting up of Smart class in Government Higher Secondary school,Mannavelampatti,Annavasal","22-Oct-2024","13-May-2025","199000","Physical Inspection"
"856","Normal/Others","WS/MP758/2025-2026/157281-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Construction of Smart Boards in Government Higher Secondary School,Kadavur,Karur District","06-Dec-2024","29-Apr-2025","199060","Physical Inspection"
"857","Normal/Others","WS/MP758/2025-2026/157282-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Construction of Smart Boards in Government Higher Secondary School,Kuruni Kulathupatti,Devar malai,Kadavur,Karur","06-Dec-2024","29-Apr-2025","199060","Physical Inspection"
"858","Normal/Others","WS/MP758/2025-2026/157283-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Construction of Smart Boards in Government Higher Secondary School,TharagamPatti,Keelappaguthi,Kadavur,Karur","06-Dec-2024","29-Apr-2025","199060","Physical Inspection"
"859","Normal/Others","WS/MP758/2025-2026/164217-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Construction of Smart Class at Government Higher Secondary School,Pallapatti Municipality,Karur","08-Jan-2025","22-Dec-2025","200000","Work Completed"
"860","Normal/Others","WS/MP758/2025-2026/168931-Purchase of smart boards, visual display units and projectors","Tamil Nadu","DINDIGUL(DISTRICT COLLECTOR DINDIGUL_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class for 4 Classrooms in Government Arts and Science College,Thaneerpandampatti,E.Chitur Village,Vedasandhur Union","25-Jan-2025","01-Apr-2025","799600","Physical Inspection"
"861","Normal/Others","WS/MP758/2025-2026/170881-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class for 5 Classrooms in Government Arts  College,Thanthondri Malai,Karur","30-Jan-2025","13-Feb-2026","993825","Physical Inspection"
"862","Normal/Others","WS/MP758/2025-2026/175014-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Boards for Government ADW High School,Mavathur,Kadavur,Krishnarayapuram.","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"863","Normal/Others","WS/MP758/2025-2026/175015-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Boards for Government High School,Tennilai,Kadavur,Krishnarayapuram.","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"864","Normal/Others","WS/MP758/2025-2026/176143-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Class for the Government Higher Secondary School,Krishnarayapuram","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"865","Normal/Others","WS/MP758/2025-2026/176146-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","purchase of Smart Board for the Government High School,Kattalai,Renganathapuram.","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"866","Normal/Others","WS/MP758/2025-2026/176149-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Boards for the Government Higher secondary School,Ward no - 9,Palaya Jeyankondam Town Panchayat","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"867","Normal/Others","WS/MP758/2025-2026/176150-Purchase of smart boards, visual display units and projectors","Tamil Nadu","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","Purchase of Smart Board for the Dr.M A M Ramasamy Chettiyar Government High School,Ward No 4,Puliyur Town Panchayat.","18-Feb-2025","16-May-2025","199060","Physical Inspection"
"868","Normal/Others","WS/MP457/2024-2025/178773-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Government Higher Secondary School, Athiyur Thirukkai","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"869","Normal/Others","WS/MP457/2024-2025/178774-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room Equipment at Government Higher Secondary School, Sangeethamangalam.","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"870","Normal/Others","WS/MP457/2024-2025/178776-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Boys Higher Secondary School, Kedar","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"871","Normal/Others","WS/MP457/2024-2025/178777-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Girls Higher Secondary School, Kedar","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"872","Normal/Others","WS/MP457/2024-2025/178780-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Municipal Higher Secondary School, B N Thope, Viluppuram","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"873","Normal/Others","WS/MP457/2024-2025/178782-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Higher Secondary School, Nadukkuppam, Marakkanam","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"874","Normal/Others","WS/MP457/2024-2025/178783-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Higher Secondary School, Koonimedu","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"875","Normal/Others","WS/MP457/2024-2025/178788-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Higher Secondary School, Manakuppam, Thiruvennainallur","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"876","Normal/Others","WS/MP457/2024-2025/178791-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Higher Secondary School, Kottakuppam","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"877","Normal/Others","WS/MP457/2024-2025/178796-Purchase of smart boards, visual display units and projectors","Tamil Nadu","Viluppuram(DISTRICT COLLECTOR VILLUPURAM_IDA)","D Ravikumar","VILUPPURAM(SC)","Smart Class Room equipment at Government Higher Secondary School, Endiyur, Marakkanam.","04-Mar-2025","25-Mar-2025","200000","Physical Inspection"
"878","Normal/Others","WS/MP18185/2025-2026/180074-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for the Government Higher Secondary School in Moolakkaraipatti (2 Nos)","12-Mar-2025","04-Aug-2025","598000","Physical Inspection"
"879","Normal/Others","WS/MP18185/2025-2026/180075-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for the Government High School in Chattramkudiyuruppu (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"880","Normal/Others","WS/MP18185/2025-2026/180076-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Vellanguli(1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"881","Normal/Others","WS/MP18185/2025-2026/180079-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Veeravanallur (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"882","Normal/Others","WS/MP18185/2025-2026/180080-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Boys Government Higher Secondary School in Earvadi (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"883","Normal/Others","WS/MP18185/2025-2026/180081-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Boys Government Higher Secondary School in Suthamalli  (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"884","Normal/Others","WS/MP18185/2025-2026/180082-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Girls Government Higher Secondary School in Nanguneri  (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"885","Normal/Others","WS/MP18185/2025-2026/180084-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Pudukudi (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"886","Normal/Others","WS/MP18185/2025-2026/180102-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Vadaku Ariyanayagipuram (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"887","Normal/Others","WS/MP18185/2025-2026/180103-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Tirunelveli (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"888","Normal/Others","WS/MP18185/2025-2026/180104-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Pettai (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"889","Normal/Others","WS/MP18185/2025-2026/180105-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government Higher Secondary School in Kadampankulam (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"890","Normal/Others","WS/MP18185/2025-2026/180107-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Girls Government Higher Secondary School in Manur (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
"891","Normal/Others","WS/MP18185/2025-2026/180108-Purchase of smart boards, visual display units and projectors","Tamil Nadu","TIRUNELVELI(DISTRICT COLLECTOR TIRUNELVELI_IDA)","ROBERT BRUCE C","TIRUNELVELI","Setting up a Smart Class for a Government High School in Narasinganallur (1 No)","12-Mar-2025","04-Aug-2025","299000","Physical Inspection"
