"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1234","Normal/Others","WS/MP755/2025-2026/196026-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1235","Normal/Others","WS/MP755/2025-2026/196027-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1236","Normal/Others","WS/MP755/2025-2026/196028-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1237","Normal/Others","WS/MP755/2025-2026/196029-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1238","Normal/Others","WS/MP755/2025-2026/196030-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1239","Normal/Others","WS/MP755/2025-2026/197519-Street lights","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Providing 1 Nos. of 16m Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","23-Mar-2026","659507"
"1240","Normal/Others","WS/MP755/2025-2026/197520-Street lights","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Providing 1 Nos. Of 12m Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","23-Mar-2026","478265"
"1241","Normal/Others","WS/MP755/2025-2026/197522-Street lights","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Providing 1 Nos. of 12m Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","23-Mar-2026","478265"
"1242","Normal/Others","WS/MP755/2025-2026/206041-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Construction of a PDS shop","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","15-May-2026","1399020"
"1243","Normal/Others","WS/MP755/2025-2026/246197-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1244","Normal/Others","WS/MP755/2025-2026/246198-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","615677"
"1245","Normal/Others","WS/MP755/2025-2026/246199-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1246","Normal/Others","WS/MP755/2025-2026/246200-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1247","Normal/Others","WS/MP755/2025-2026/246201-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1248","Normal/Others","WS/MP755/2025-2026/246202-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1249","Normal/Others","WS/MP755/2025-2026/246204-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1250","Normal/Others","WS/MP755/2025-2026/246205-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","13-Aug-2026","424635"
"1251","Normal/Others","WS/MP755/2025-2026/246892-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos. of Mini Highmast Light at Palnellur Panchayat","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1252","Normal/Others","WS/MP755/2025-2026/246893-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos. of Mini Highmast Light at Keevalur Panchayat","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1253","Normal/Others","WS/MP755/2025-2026/246894-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos. of Mini Highmast Light at Thathanur Panchayat","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Dec-2025","424635"
"1254","Normal/Others","WS/MP755/2025-2026/253234-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","26-Feb-2026","424635"
"1255","Normal/Others","WS/MP755/2025-2026/253236-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","26-Feb-2026","424635"
"1256","Normal/Others","WS/MP755/2025-2026/253237-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","26-Feb-2026","424635"
"1257","Normal/Others","WS/MP755/2025-2026/256784-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","26-Feb-2026","424635"
"1258","Normal/Others","WS/MP755/2025-2026/256785-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","26-Feb-2026","424635"
"1259","Normal/Others","WS/MP755/2025-2026/256786-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Jul-2026","424115"
"1260","Normal/Others","WS/MP755/2025-2026/256787-Street lights","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing 1 Nos of Mini Highmast Light","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Jul-2026","424115"
"1261","Normal/Others","WS/MP755/2025-2026/261328-Construction of bus-sheds or bus-stops","Tamil Nadu","Kancheepuram(DISTRICT COLLECTOR KANCHEEPURAM_IDA)","Providing Passenger Steel Bus Stand.","Thalikkottai Rajuthevar Baalu","SRIPERUMBUDUR","Images","31-Jul-2026","4833356"
"1262","Normal/Others","WS/MP756/2025-2026/170250-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road  at Ward No 5 Delhi Sahib Dharka street in Parangipettai TP.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","03-Sep-2025","1000000"
"1263","Normal/Others","WS/MP756/2025-2026/170385-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road at Villiyanallur Panchayat in Parangipettai Block.(200m)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","13-Aug-2025","999677"
"1264","Normal/Others","WS/MP756/2025-2026/170885-Construction of water tanks","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Overhead Tank (OHT) 30,000 Litre Capacity at Natarajapuram Village Vasaputhur Panchayat in Parangipettai Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","09-Oct-2025","1841434"
"1265","Normal/Others","WS/MP756/2025-2026/170887-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Ritual Shed (Karumakariya Mandapam) at  Manjakuzhi Panchayat in Parangipettai Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","15-Dec-2025","464927"
"1266","Normal/Others","WS/MP756/2025-2026/170950-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Ritual Shed (Karumakariya Mandapam) at Ponnankoil  Paradhur Panchayat in Keerapalayam Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","27-Jan-2026","449645"
"1267","Normal/Others","WS/MP756/2025-2026/170954-Construction of community centers and community halls","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Community Hall  at Ward no 2 Srivakkaramari Village In Srimushnam TP","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","30-Oct-2025","5000000"
"1268","Normal/Others","WS/MP756/2025-2026/170957-Construction of cycle tracks, cycle stand and segregated non-motorized vehicle (NMV) lanes","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Two Wheeler Shed and Entrance Arch at Kattumanarkoil Govt Art and Science College Kilvanniyur Village in Kumartchi Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","N/A","29-Aug-2025","2493881"
"1269","Normal/Others","WS/MP756/2025-2026/170977-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Construction of Ritual Shed (Karumakariya Mandapam) at T.Pavazhankudi Panchayat in Srimushnam Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","18-Oct-2025","448350"
"1270","Normal/Others","WS/MP756/2025-2026/170981-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road at Melavanniyur School Street Nedvumbur   Panchayat in Kumartchi Block.(115m)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","24-Jul-2025","799222"
"1271","Normal/Others","WS/MP756/2025-2026/171067-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","Ariyalur(District Collector Ariyalur_IDA)","Construction of Funeral Shed at Vanavanallur Village Thaluthalaimedu Panchayat in Jayankondam Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","10-Oct-2025","449022"
"1272","Normal/Others","WS/MP756/2025-2026/171112-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","Tamil Nadu","Ariyalur(District Collector Ariyalur_IDA)","Construction of Ritual Shed at Elaiyur VIllage Elaiyur Panchayat in Andimadam Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","27-Nov-2025","449315"
"1273","Normal/Others","WS/MP756/2025-2026/171128-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providing Asphalt Road at AD Street Koodalur Panchayat in Alathur Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","N/A","27-Nov-2025","1891649"
"1274","Normal/Others","WS/MP756/2025-2026/171134-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Cement Concrete Road and Drainage (140m) P.K Nallur Street Vashishtapuram Panchayat in Veppur Block","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","17-Nov-2025","1099846"
"1275","Normal/Others","WS/MP756/2025-2026/171142-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Providng Asphalt Road from Thirumandurai Main Road to Elaimiruchi Village Thirumandurai Panchayat Veppur Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","N/A","02-Sep-2025","2195668"
"1276","Normal/Others","WS/MP756/2025-2026/171145-Construction of community centers and community halls","Tamil Nadu","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","Construction of Ration Shop at B.C Street Periavenmani Panchayat in Veppur Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","N/A","06-Dec-2025","1174038"
"1277","Normal/Others","WS/MP756/2025-2026/175358-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road at B.C Street Sakthi Vilagam   Panchayat in Keerapalayam Block.(100m)","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","04-Sep-2025","999403"
"1278","Normal/Others","WS/MP756/2025-2026/176317-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Providing Cement Road 150 M at Puliyangudi Village Thenharirajapuram Panchayat in Keerapalayam Block.","Thirumaa Valavan Thol","CHIDAMBARAM(SC)","Images","25-Jun-2025","999472"
